accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
2021-09-13 20:01:01,20:01:01,เฉลิมมหานคร,ปกติ,0,0,0,0,เบรครถกระทันหัน
2021-09-13 07:58:58,07:58:58,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-12 20:25:25,20:25:25,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,1,0,0,เบรคขัดข้อง
2021-09-12 19:53:53,19:53:53,ฉลองรัช,ปกติ,0,0,0,0,ล้อหลุด
2021-09-11 18:34:34,18:34:34,ฉลองรัช,ปกติ,0,0,0,0,อุปกรณ์ล้อยางชำรุด
2021-09-11 15:25:25,15:25:25,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-10 16:56:56,16:56:56,เฉลิมมหานคร,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-09-10 09:41:41,09:41:41,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2021-09-09 05:25:25,05:25:25,บูรพาวิถี,ปกติ,0,0,0,0,ล้อหลุด
2021-09-08 20:47:47,20:47:47,ฉลองรัช,ปกติ,0,1,0,0,สภาพแวดล้อม
2021-09-08 17:24:24,17:24:24,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถประมาท
2021-09-08 16:50:50,16:50:50,บางพลี-สุขสวัสดิ์,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-09-07 17:36:36,17:36:36,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถประมาท
2021-09-06 19:02:02,19:02:02,ศรีรัช,ปกติ,3,0,0,0,ขับรถเร็วเกินไป
2021-09-06 10:30:30,10:30:30,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-09-06 10:12:12,10:12:12,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เบรกไม่อยู่
2021-09-06 10:12:12,10:12:12,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-06 10:05:05,10:05:05,บูรพาวิถี,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-06 08:01:01,08:01:01,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถระยะกระชั้นชิด
2021-09-05 16:47:47,16:47:47,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-05 13:20:20,13:20:20,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-09-05 12:33:33,12:33:33,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,สภาพแวดล้อม
2021-09-05 09:19:19,09:19:19,ศรีรัช,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-04 12:26:26,12:26:26,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-03 14:37:37,14:37:37,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-09-03 11:06:06,11:06:06,บูรพาวิถี,ปกติ,0,0,0,0,สภาพแวดล้อม
2021-09-02 15:14:14,15:14:14,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-01 21:04:04,21:04:04,บางพลี-สุขสวัสดิ์,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-09-01 12:18:18,12:18:18,บูรพาวิถี,ปกติ,0,0,0,0,ฝ่าฝืนสัญญาณ/ป้ายจราจร
2021-09-01 10:40:40,10:40:40,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-08-31 18:37:37,18:37:37,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2021-08-31 11:55:55,11:55:55,ฉลองรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-08-31 09:04:04,09:04:04,เฉลิมมหานคร,ปกติ,0,0,0,0,หลับใน
2021-08-31 08:50:50,08:50:50,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-08-30 19:10:10,19:10:10,ฉลองรัช,ปกติ,1,0,0,0,ยางแตก
2021-08-29 12:12:12,12:12:12,ศรีรัช,ปกติ,0,0,0,0,ฝ่าฝืนสัญญาณ/ป้ายจราจร
2021-08-29 08:30:30,08:30:30,ศรีรัช,ถนนเปียก,0,0,0,0,ขับรถเร็วเกินไป
2021-08-29 07:36:36,07:36:36,ศรีรัช,ถนนเปียก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-28 20:22:22,20:22:22,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-08-27 17:25:25,17:25:25,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
2021-08-26 20:29:29,20:29:29,เฉลิมมหานคร,ฝนตก,1,0,0,0,ถนนเปียกลื่น
2021-08-26 05:02:02,05:02:02,เฉลิมมหานคร,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
2021-08-25 21:08:08,21:08:08,ศรีรัช,ปกติ,0,0,0,0,สภาพแวดล้อม
2021-08-25 19:03:03,19:03:03,อุดรรัถยา,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-08-24 20:40:40,20:40:40,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-23 11:23:23,11:23:23,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-08-22 14:54:54,14:54:54,ศรีรัช,ปกติ,2,0,1,0,เปลี่ยนช่องทางกระทันหัน
2021-08-22 09:00:00,09:00:00,บูรพาวิถี,ฝนตก,2,1,0,0,ขับรถเร็วเกินไป
2021-08-21 21:19:19,21:19:19,บูรพาวิถี,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
2021-08-21 11:58:58,11:58:58,เฉลิมมหานคร,ปกติ,0,0,0,0,ยางแตก
2021-08-21 06:33:33,06:33:33,เฉลิมมหานคร,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-08-20 19:50:50,19:50:50,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-19 16:14:14,16:14:14,อุดรรัถยา,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-18 19:15:15,19:15:15,เฉลิมมหานคร,ปกติ,0,0,0,0,โรคประจำตัว
2021-08-18 14:53:53,14:53:53,บางพลี-สุขสวัสดิ์,ปกติ,2,0,0,0,เบรคขัดข้อง
2021-08-17 02:45:45,02:45:45,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2021-08-16 10:56:56,10:56:56,ฉลองรัช,ปกติ,1,0,0,0,เบรครถกระทันหัน
2021-08-16 06:51:51,06:51:51,บูรพาวิถี,ปกติ,0,0,0,0,เข้าช่องทางผิด
2021-08-15 18:21:21,18:21:21,ฉลองรัช,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2021-08-14 12:25:25,12:25:25,ฉลองรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2021-08-14 04:13:13,04:13:13,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-13 12:25:25,12:25:25,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-12 10:02:02,10:02:02,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2021-08-12 06:15:15,06:15:15,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ล้อหลุด
2021-08-10 13:05:05,13:05:05,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-10 10:25:25,10:25:25,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-10 07:55:55,07:55:55,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,หลับใน
2021-08-09 07:19:19,07:19:19,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-09 04:20:20,04:20:20,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-07 10:01:01,10:01:01,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ล้อหลุด
2021-08-06 10:57:57,10:57:57,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-08-05 20:58:58,20:58:58,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-08-04 17:21:21,17:21:21,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-08-04 14:44:44,14:44:44,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-08-02 16:02:02,16:02:02,ศรีรัช-วงแหวนรอบนอก,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-07-31 19:29:29,19:29:29,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ระบบไฟฟ้าขัดข้อง
2021-07-30 21:40:40,21:40:40,เฉลิมมหานคร,ปกติ,0,0,0,0,บรรทุกเกิน/ของตกหล่น
2021-07-30 18:15:15,18:15:15,ฉลองรัช,ฝนตก,0,0,0,0,ยางแตก
2021-07-30 13:14:14,13:14:14,อุดรรัถยา,ปกติ,0,1,0,0,ยางแตก
2021-07-30 08:05:05,08:05:05,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ยางแตก
2021-07-30 07:08:08,07:08:08,อุดรรัถยา,ปกติ,0,0,0,0,น๊อตล้อหลังขวาขาด
2021-07-30 06:29:29,06:29:29,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-07-29 02:53:53,02:53:53,เฉลิมมหานคร,ปกติ,0,0,1,0,หลับใน
2021-07-28 17:14:14,17:14:14,ฉลองรัช,ปกติ,1,0,0,0,ลงมาเก็บสิ่งของตกหล่นเลนขวา
2021-07-28 15:12:12,15:12:12,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถช้าลง
2021-07-28 14:30:30,14:30:30,เฉลิมมหานคร,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-27 17:21:21,17:21:21,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-07-26 20:23:23,20:23:23,ฉลองรัช,ปกติ,1,1,0,0,เบรคขัดข้อง
2021-07-25 18:04:04,18:04:04,บูรพาวิถี,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2021-07-25 17:56:56,17:56:56,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-07-25 14:11:11,14:11:11,ศรีรัช-วงแหวนรอบนอก,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-07-23 21:52:52,21:52:52,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-07-23 20:31:31,20:31:31,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-21 21:00:00,21:00:00,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
